Afghanistan,Kabul,34.4667,69.1833
Albania,Tirane,41.3,19.8167
Algeria,Algiers,36.7,3.13333
American Samoa,Pago Pago,-14.2667,-170.717
Andorra,Andorra la Vella,42.5167,1.53333
Angola,Luanda,-8.83333,13.25
Antigua and Barbuda,W. Indies,17.3333,-61.8
Argentina,Buenos Aires,-36.5,-60
Armenia,Yerevan,40.1667,44.5167
Aruba,Oranjestad,12.5333,-70.0333
Australia,Canberra (Use Sydney),-35.25,149.133
Austria,Vienna,48.2,16.3667
Azerbaijan,Baku,40.4833,49.9333
Bahamas,Nassau,25.0833,-77.3333
Bahrain,Manama,26.1667,50.5
Bangladesh,Dhaka,23.7167,90.4333
Barbados,Bridgetown,13.0833,-59.5
Belarus,Minsk,53.8667,27.5
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.3,-88.5
Benin,Porto-Novo,6.38333,2.7
Bhutan,Thimphu,27.5167,89.75
Bolivia,La Paz,-16.3333,-68.1667
Bosnia and Herzegovina,Sarajevo,43.8667,18.4333
Botswana,Gaborone,-24.75,25.95
Brazil,Brasilia,-15.7833,-47.9167
British Virgin Islands,Road Town,18.45,-64.6167
Brunei Darussalam,Bandar Seri Begawan,4.86667,115
Bulgaria,Sofia,42.75,23.3333
Burkina Faso,Ouagadougou,12.25,-1.5
Burundi,Bujumbura,-3.26667,29.3
Cambodia,Phnom Penh,11.55,104.917
Cameroon,Yaounde,3.83333,11.5833
Canada,Ottawa,45.45,-75.7
Cape Verde,Praia,15.0333,-23.5667
Cayman Islands,George Town,19.3333,-81.4
Central African Republic,Bangui,4.38333,18.5833
Chad,N'Djamena,12.1667,14.9833
Chile,Santiago,-33.4,-70.6667
China,Beijing,39.9167,116.333
Colombia,Bogota,4.56667,-74
Comros,Moroni,-11.6667,43.2667
Congo,Brazzaville,-4.15,15.2
Costa Rica,San Jose,9.91667,-84.0333
Cote d'Ivoire,Yamoussoukro,6.81667,-5.28333
Croatia,Zagreb,45.8333,15.9667
Cuba,Havana,23.1333,-82.3667
Cyprus,Nicosia,35.1667,33.4167
Czech Republic,Prague,50.0833,14.3667
Democratic People's Republic of,P'yongyang,39.15,125.5
Democratic Republic of the Congo,Kinshasa,-4.33333,15.25
Denmark,Copenhagen,55.6833,12.5667
Djibouti,Djibouti,11.1333,42.3333
Dominica,Roseau,15.3333,-61.4
Dominica Republic,Santo Domingo,18.5,-69.9833
East Timor,Dili,-8.48333,125.567
Ecuador,Quito,-0.25,-78.5833
Egypt,Cairo,30.0167,31.2333
El Salvador,San Salvador,13.6667,-89.1667
Equatorial Guinea,Malabo,3.75,8.83333
Eritrea,Asmara,15.3167,38.9167
Estonia,Tallinn,59.3667,24.8
Ethiopia,Addis Ababa,9.03333,38.7
Falkland Islands (Malvinas),Stanley,-51.6667,-59.85
Faroe Islands,Torshavn,62.0833,-6.93333
