Abu Dhabi,Canberra (Use Sydney),plane,24,1339,"Qatar Airways, Thai Airways, Jetstar Airways, 2 stops, Momondo.com"
Abu Dhabi,Lima,plane,30,1967,"KLM Airways, 1 stop, Momondo.com"
Abu Dhabi,London,plane,10,666,"Turkish Airlines, 1 stop, Momondo.com"
Abu Dhabi,Manama,plane,1.25,130,"Direct Flight, KLM Airways, www.momondo.com"
Abu Dhabi,Masqat,bus,7,30,"Oman National Transport Company, Bus #202,  http://www.omanet.om/english/useful/transport.asp"
Abu Dhabi,Masqat,plane,1,122,"Direct flight, Etihad Airways, Momondo.com"
Abu Dhabi,Pretoria (Use Johannesburg),plane,16,714,"Egyptair, 1 stop, Momondo.com"
Abu Dhabi,Riyadh,plane,3,172,"Gulf Air, 1 stop, www.momondo.com"
Abu Dhabi,Singapore,plane,11,545,"SriLankan Airlines, 1 stop, Momondo.com"
Abu Dhabi,Washington DC,plane,14,585,"Direct flight, Momondo.com"
Abuja,Cairo,plane,16,971,"http://www.kayak.com/r/FWACDRq6cm"
Abuja,N'Djamena,bus,0.25,0.4,"COPY: http://www.lonelyplanet.com/chad/transport/getting-there-away"
Accra,Freetown,plane,3,591,"COPY: KAYAK - ASKY"
Accra,Lome,plane,0.666667,344,"kayak - asky airline"
Accra,Ouagadougou,plane,1.33333,420,"kayak.com - air burkina"
Accra,Yamoussoukro,plane,1,327,"Kayak.com - Emirates Airline (no airport in yamoussoukra, flight is to abidjan)"
Addis Ababa,Bamako,plane,7,797,"COPY: http://www.momondo.com/multicity/?Search=true&TripType=oneway&SegNo=1&SO0=ADD&SD0=ASM&SDP0=10-04-2013&AD=1&DO=false&NA=false#Search=true&TripType=oneway&SegNo=1&SO0=BKO&SD0=ADD&SDP0=11-04-2013&AD=1&DO=false&NA=false"
Addis Ababa,Cairo,plane,3,221,"http://www.momondo.com/multicity/?Search=true&TripType=oneway&SegNo=1&SO0=ADD&SD0=ASM&SDP0=10-04-2013&AD=1&DO=false&NA=false#Search=true&TripType=oneway&SegNo=1&SO0=ADD&SD0=CAI&SDP0=10-04-2013&AD=1&DO=false&NA=false"
Addis Ababa,Djibouti,plane,1.33,288,"http://www.momondo.com/multicity/?Search=true&TripType=oneway&SegNo=1&SO0=ADD&SD0=ASM&SDP0=03-04-2013&AD=1&DO=true&NA=false#Search=true&TripType=oneway&SegNo=1&SO0=ADD&SD0=JIB&SDP0=03-04-2013&AD=1&DO=true&NA=false"
Addis Ababa,Mogadishu,plane,20,830,"COPY: http://www.rumbo.com/vuelos/spider.do<BR><BR>the trips often have to stop in Nairobi and other countries, so the trip is very long"
Algiers,Nassau,plane,34,1710,"momondo.com<BR>Multiple Airlines"
